"taxa","yr","phase","start","start_lcl","start_ucl","peak","peak_lcl","peak_ucl","end","end_lcl","end_ucl"
"A. palmeri","2018-2023","fruit",32,1,204,242,225,276,358,329,Inf
"A. palmeri","2018-2023","fruit_ripe",34,1,225,297,280,314,354,334,Inf
"C. gigantea","2012-2023","fruit",123,122,125,157,149,164,191,190,193
"C. gigantea","2012-2023","fruit_ripe",154,153,156,170,165,176,188,186,190
