"taxa","yr","phase","start","peak","end","nobs"
"A. palmeri",2018,"fruit",194,225,328,106
"A. palmeri",2018,"fruit_ripe",196,225,330,106
"A. palmeri",2019,"fruit",187,273,Inf,67
"A. palmeri",2019,"fruit_ripe",254,313,Inf,67
"A. palmeri",2020,"fruit",201,276,315,54
"A. palmeri",2020,"fruit_ripe",207,279,315,54
"A. palmeri",2021,"fruit",175,219,365,69
"A. palmeri",2021,"fruit_ripe",186,313,363,69
"A. palmeri",2022,"fruit",193,337,Inf,68
"A. palmeri",2022,"fruit_ripe",246,337,Inf,68
"A. palmeri",2023,"fruit",-Inf,8,NA,50
"A. palmeri",2023,"fruit_ripe",-Inf,8,NA,50
"C. gigantea",2012,"fruit",108,150,188,19
"C. gigantea",2012,"fruit_ripe",130,159,188,19
"C. gigantea",2013,"fruit",129,158,202,29
"C. gigantea",2013,"fruit_ripe",156,174,191,29
"C. gigantea",2014,"fruit",101,152,194,26
"C. gigantea",2014,"fruit_ripe",134,164,193,26
"C. gigantea",2015,"fruit",97,166,309,15
"C. gigantea",2015,"fruit_ripe",143,253,282,15
"C. gigantea",2016,"fruit",110,151,199,21
"C. gigantea",2016,"fruit_ripe",145,166,188,21
"C. gigantea",2017,"fruit",115,151,191,36
"C. gigantea",2017,"fruit_ripe",172,175,178,36
"C. gigantea",2018,"fruit",113,157,200,56
"C. gigantea",2018,"fruit_ripe",150,172,197,56
"C. gigantea",2019,"fruit",113,165,206,70
"C. gigantea",2019,"fruit_ripe",157,178,201,70
"C. gigantea",2020,"fruit",114,156,198,83
"C. gigantea",2020,"fruit_ripe",146,171,199,83
"C. gigantea",2021,"fruit",110,154,194,68
"C. gigantea",2021,"fruit_ripe",139,167,190,68
"C. gigantea",2022,"fruit",119,155,210,63
"C. gigantea",2022,"fruit_ripe",148,166,185,63
"C. gigantea",2023,"fruit",115,159,NA,38
"C. gigantea",2023,"fruit_ripe",144,173,NA,38
